id,co2,precio,producción
1,292,1418,6130
2,45619,13392,89000
3,50,7051,85000
4,58051,11507,116000
5,0,19472,78000
6,10003,5690,23000
7,126383,5309,143000
8,20730,2682,28000
9,26880,7107,70000
10,0,23259,171000
11,95049,12830,118000
12,1079,8196,107000
13,400,17546,86000
14,10935,6247,53000
15,1000,7782,153000
16,110816,17276,169000
17,90814,500,175000
18,7727,19201,170000
19,8201,307,15000
20,20,27592,161000
21,600,9627,178000
22,123717,35644,196000
23,39885,1215,182000
24,95452,21854,143000
25,9862,2576,24000
26,10186,309,30000
27,54592,6730,73000
28,400,8628,168000
29,3240,13684,64000
30,0,9569,55000
31,97173,14455,102000
32,8888,7247,32000
33,0,2456,15000
34,31560,100,47000
35,14,9913,41000
36,73431,13196,138000
37,7250,10299,93000
38,460,1224,6000
39,116167,23417,117000
40,10,13511,172000
41,21989,9391,83000
42,0,2115,15000
43,50219,9370,78000
44,31948,10907,107000
45,0,7305,123000
46,30131,13233,148000
47,132719,42859,194000
48,4000,1276,26000
49,159298,29277,182000
50,38820,2416,39000
